4dae0df,COBIT Assessment Team,admin@cobit.com,2026-02-03 08:17:22 +0700,fix: properly disable forms and hide evidence uploads when assessment completed
24a0e3c,COBIT Assessment Team,admin@cobit.com,2026-01-29 14:44:20 +0700,feat: implement completed assessment restrictions and timeline
e95a51d,COBIT Assessment Team,admin@cobit.com,2026-01-29 09:29:23 +0700,fix: sync PDF export capability level calculation with frontend logic
f4ac802,COBIT Assessment Team,admin@cobit.com,2026-01-29 08:58:19 +0700,fix: resolve PDF export error and improve UI layout
3f0a8b8,COBIT Assessment Team,admin@cobit.com,2026-01-29 08:54:47 +0700,feat: implement PDF export for assessment detail report
193e112,COBIT Assessment Team,admin@cobit.com,2026-01-29 08:41:41 +0700,fix: correct GAP calculation to Current - Target
6f560ed,COBIT Assessment Team,admin@cobit.com,2026-01-28 16:30:08 +0700,feat: implement export summary all GAMOs to Excel
399bf0d,COBIT Assessment Team,admin@cobit.com,2026-01-28 14:36:08 +0700,feat: change application logo and name to AssessMe
ba06959,COBIT Assessment Team,admin@cobit.com,2026-01-28 14:33:31 +0700,fix: remove duplicate notification icon in navbar
7821a29,COBIT Assessment Team,admin@cobit.com,2026-01-28 07:22:45 +0700,feat: implement notification system
3951a8d,COBIT Assessment Team,admin@cobit.com,2026-01-28 06:23:32 +0700,fix: resolve infinite loop in GAMO score calculation
b2922f5,COBIT Assessment Team,admin@cobit.com,2026-01-27 20:31:53 +0700,feat: make company read-only and hide assessment/scope type in edit form
fddacf6,COBIT Assessment Team,admin@cobit.com,2026-01-27 20:16:23 +0700,fix: remove reviewedBy/approvedBy from eager loading in controllers
6bd1412,COBIT Assessment Team,admin@cobit.com,2026-01-27 20:03:57 +0700,fix: remove remaining reviewedBy/approvedBy references from reports
89b7293,COBIT Assessment Team,admin@cobit.com,2026-01-27 20:00:06 +0700,feat: clean up assessment status (remove reviewed/approved) & add mark as complete button
8cc9d43,COBIT Assessment Team,admin@cobit.com,2026-01-27 19:41:08 +0700,feat: enhance password security & restructure menu navigation
fda7abf,COBIT Assessment Team,admin@cobit.com,2026-01-27 16:22:51 +0700,Remove reviewed and approved stats cards from profile view
840fd68,COBIT Assessment Team,admin@cobit.com,2026-01-27 16:20:28 +0700,Remove reviewedAssessments and approvedAssessments stats from profile
e3914a5,COBIT Assessment Team,admin@cobit.com,2026-01-27 16:16:55 +0700,Remove reviewed_by and approved_by relationships from models
a34316f,COBIT Assessment Team,admin@cobit.com,2026-01-27 16:12:30 +0700,Remove Review & Approval workflow - simplify to draft, in_progress, completed only
836ccb9,COBIT Assessment Team,admin@cobit.com,2026-01-27 15:44:22 +0700,Change user role selection from checkbox to dropdown - one role per user
f8f9f47,COBIT Assessment Team,admin@cobit.com,2026-01-27 15:36:43 +0700,Fix edit user button - add data-bs-toggle and data-bs-target attributes
f3483e5,COBIT Assessment Team,admin@cobit.com,2026-01-27 14:05:33 +0700,Change timezone to Asia/Jakarta (WIB)
7172b04,COBIT Assessment Team,admin@cobit.com,2026-01-27 14:02:35 +0700,Fix audit logging - prevent errors in AJAX requests and background processes
fc9adcd,COBIT Assessment Team,admin@cobit.com,2026-01-27 13:36:26 +0700,Add comprehensive audit logging system with observers and middleware
0eb8db3,COBIT Assessment Team,admin@cobit.com,2026-01-27 11:29:29 +0700,Fix radar chart realization data - use same API structure as capability cards
a522653,COBIT Assessment Team,admin@cobit.com,2026-01-27 10:44:14 +0700,fix: Swap radar chart colors to match card colors and improve data visibility
487d9a1,COBIT Assessment Team,admin@cobit.com,2026-01-27 10:20:29 +0700,feat: Display guidance and document requirements in activity detail modal
45591a1,COBIT Assessment Team,admin@cobit.com,2026-01-27 10:12:24 +0700,feat: Add expandable rows for activity guidance and document requirements
eafb249,COBIT Assessment Team,admin@cobit.com,2026-01-27 06:55:06 +0700,fix: Preserve target level selections when navigating between steps
3673950,COBIT Assessment Team,admin@cobit.com,2026-01-27 06:47:43 +0700,feat: Add Asesi role and improve assessment creation
7d8f41d,COBIT Assessment Team,admin@cobit.com,2026-01-26 06:13:51 +0700,Enable Viewer read-only access to Evidence, Repository, Summary, and OFI
8045e17,COBIT Assessment Team,admin@cobit.com,2026-01-26 06:07:54 +0700,Fix: Viewer can now view all assessments from their company (read-only access)
b346719,COBIT Assessment Team,admin@cobit.com,2026-01-26 06:01:11 +0700,Fix: Viewer role can now see all assessments from their company
